Year,Average CO monthly,Average Ozone,PM10,PM25,NO2,,Hospitlizations Count
,6.8,45.86666667,16.7,47.6666667,31.6,,1819
,7.64516129,22.11290323,31.0952381,37.2142857,42.03225806,,1758
,8.433333333,31.6,15.2,47.7666667,40.5,,1810
,8.64516129,19.27419355,26.4878049,46.5365854,49.69354839,,1783
2018,7.5,33.5,17.4,44.5,47.5,,1897
,10.71428571,33.35714286,14.4,55.75,47.25,,1700
,9.064516129,41.25806452,12.6666667,45.483871,43.19354839,,1938
,9.5,50.56666667,11.8888889,45.9333333,41.43333333,,1740
,8.096774194,62.67741935,16.75,53.9677419,43.5483871,,1867
,5.666666667,62,15.1,51.1,36.5,,1122
,6.193548387,80.96774194,18.7272727,54.2903226,32.5483871,,868
,6.064516129,65.4516129,18.4,56.4516129,31.25806452,,1021
,6.966666667,39.36666667,14.3,42.1,28.26666667,,1925
,6.870967742,20.0483871,28.097561,33.8048781,37.29032258,,2209
,8.133333333,30.63333333,9.6,43.4333333,34.2,,1673
,10.09677419,20.91935484,26.2380952,42.7142857,46.80645161,,1728
2019,8,31.5,12.5,47,41.5,,1523
,8.607142857,38.39285714,15.2857143,50.3571429,48.60714286,,1348
,8.225806452,46.80645161,13.0909091,50.516129,47.5483871,,1647
,7.7,46.4,14.9,43.5,41.16666667,,1557
,7.35483871,46.61290323,13.4444444,49.0322581,35.70967742,,1968
,6.366666667,59,14.8,48.1,34.5,,1212
,6.838709677,86.09677419,17.5454546,55.9677419,34.22580645,,989
,8.548387097,60.12903226,15.1,47.2903226,33.80645161,,902
,7.066666667,48.7,14.1,42.4333333,35.6,,1853
,6.806451613,20.87096774,28.9268293,32.0487805,36.83870968,,1605
,8.533333333,30.66666667,13.125,45.1,38.86666667,,1725
,9.419354839,19.33870968,25.8292683,41.4146342,44.40322581,,1715
